name,fifa_rank,points
Argentinien,1,1874.8
Spanien,2,1873.0
Frankreich,3,1869.4
England,4,1826.0
Brasilien,5,1762.7
Portugal,6,1761.2
Marokko,7,1756.9
Niederlande,8,1751.1
Belgien,9,1742.2
Deutschland,10,1731.3
Kroatien,11,1712.2
Kolumbien,13,1696.0
Mexiko,14,1687.5
Senegal,15,1686.4
USA,16,1675.7
Uruguay,17,1673.1
Japan,18,1661.6
Schweiz,19,1650.8
Iran,20,1619.6
Türkei,22,1602.0
Österreich,23,1597.4
Ecuador,24,1596.5
Südkorea,25,1591.6
Australien,27,1578.7
Algerien,28,1571.0
Ägypten,29,1565.6
Kanada,30,1559.5
Norwegen,31,1555.6
Elfenbeinküste,33,1540.9
Panama,34,1540.6
Schweden,38,1509.8
Tschechien,39,1505.7
Paraguay,40,1505.3
Schottland,43,1499.9
DR Kongo,45,1479.7
Tunesien,46,1476.4
Usbekistan,50,1461.2
Katar,55,1452.4
Irak,56,1451.2
Südafrika,60,1428.4
Saudi-Arabien,61,1421.5
Jordanien,63,1390.1
Bosnien-Herzegowina,64,1385.8
Kap Verde,68,1369.3
Ghana,73,1346.9
Haiti,82,1293.1
Curaçao,83,1293.1
Neuseeland,85,1276.7
